Firm,Link,Description,Phone,Address,State,Website,Practice Area
Kyle B. Coffman,https://www.us-barassociation.org/firms/detail/b996dec123473c38,"I am attorney Kyle Coffman. Since 1988, my Maui County law firm has been dedicated to helping individuals and families solve their legal problems. Whether counseling and representing clients in cases involving divorce, child custody, temporary restraining orders, wills and trusts, partition actions,",Phone(s): (808) 242-9750,"Kyle B. Coffman
Wailuku, Hawaii
96793", Hawaii,N/A,Divorce
Landsberg Law Office,https://www.us-barassociation.org/firms/detail/426eca9929c2f544,"In just the last few months the Landsberg Law Office has handled in Honolulu, Hawaii:
Felony crimes, Misdemeanors, Immigration cases, Military cases, TROs Foreclosure actions (defense), Civil negotiations, Victim's rights issues, and a Murder defense that ended up getting dismissed before",Phone(s): (808) 230-7419,"1088 Bishop St. #Penthouse
Honolulu, Hawaii
96813", Hawaii,N/A,Criminal Defense
Law Office of Khaled Mujtabaa,https://www.us-barassociation.org/firms/detail/f5a6477cbab3b37f,"Law Office of Khaled Mujtabaa is headed by an experienced bankruptcy and divorce attorney. Our practice primarily focuses on personal bankruptcy in Hawaii, including Chapter 7 bankruptcy and Chapter 13 bankruptcy claims, as well as divorce separations and divorce in Honolulu.

Mr.",Phone(s): (808) 524-0511,"33 S King Street, # 201
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Divorce, Litigation, Real Estate"
Law Office of Mark Gallagher,https://www.us-barassociation.org/firms/detail/41206c4aff875780,"The Law Office of Mark Gallagher represents persons who have been injured by the negligence of others throughout the State of Hawaii. Types of claims include automobile accidents, motorcycle accidents, truck accidents, slip and fall accidents, premises liability, defective products, legal",Phone(s): (808) 535-1500,"66 Kaiholu Place
Kailua, Hawaii
96734", Hawaii,N/A,"Business Law, Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
Law Office of Roman Amaguin,https://www.us-barassociation.org/firms/detail/105e1991538962a5,"Roman was formerly a partner at a large Honolulu law firm and has extensive employment litigation experience and trial preparation in both federal and state courts and before federal and state agencies.

He is a ""Top Rated Lawyer in Labor and Employment"" as selected by American Lawyer Media,",Phone(s): (808) 545-4151,"345 Queen Street, Suite 504
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Employment, Litigation"
"Law Office of Victor Bakke, ALC",https://www.us-barassociation.org/firms/detail/300b6d620cbc3568,"Were you recently charged with a crime, arrested, or accused? If so, there is no time to waste in securing the representation of skilled criminal defense firm and lawyer who can help you. You need to know that you are in the hands of a team who has your best interest in mind at all time, and also",Phone(s): (808) 369-8170,"700 Bishop Street, Suite 2100
Honolulu, Hawaii
96813", Hawaii,N/A,"Criminal Defense, Government"
Law Offices of Brian J. DeLima,https://www.us-barassociation.org/firms/detail/e7d28cb487412b8f,"Law Offices of Brian J. DeLima is located in Hilo, Hawaii and offers a variety of legal services for clients on the Big Island. Practice areas consist of personal injury claims for car and other vehicle accidents, divorce and family law, criminal defense for a range of felonies and misdemeanors, civil litigation in state and federal courts.

Brian J. DeLima was admitted to State of Hawaii Bar and the U.S. District Court, District of Hawaii in 1983 and to the U.S. Court of Appeals Ninth Circuit in 1989. Knowledgeable litigators, the attorneys have extensive trial experience and are skilled in settlement negotiations as well.

Law Offices of Brian J. DeLima offers clients compassionate and tenacious counsel, working to protect their rights and secure favorable outcomes.",Phone(s): (833) 664-6245,"101 Aupuni Street, Suite 133
Hilo, Hawaii
96720", Hawaii,https://www.briandelimalaw.com/,"Business Law, Criminal Defense, Divorce, Employment, Family Law, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Law Offices of Edward J.S.F. Smith,https://www.us-barassociation.org/firms/detail/cca3e58b3b935c84,"The Law Offices of Edward J.S.F. Smith is committed to providing high-quality, legal representation at cost-effective rates. Our firm helps individuals and families with divorce and child custody issues as well as a range of immigration matters in Honolulu and on the Big Island of Hawaii.",Phone(s): (808) 523-6936,"758 Kapahulu Avenue, Suite 250
Honolulu, Hawaii
96816", Hawaii,N/A,"Bankruptcy, Criminal Defense, Divorce, Family Law, Immigration"
Law Offices of George Nam,https://www.us-barassociation.org/firms/detail/ed6d633d0e17272c,"The Law Offices of George Nam is a legal firm assisting people for 28 years. We are aware of the importance of documenting the wills, trust, distribute it accordingly. We offer various legal services like estate planning, trust settlement, probate & estate settlement, real property gifting plan etc.",Phone(s): (808) 943-1711,"1441 Kapiolani Boulevard, Suite 1711
Honolulu, Hawaii
96814", Hawaii,N/A,"Estate Planning, Real Estate"
"Law Offices of Myles S. Breiner, ALC, Inc.",https://www.us-barassociation.org/firms/detail/a8e6601b2d8f88cd,"Myles S. Breiner, Attorney At Law, A Law Corporation, Inc. has been in service defending Hawaiians for over 25 years, litigating for civil rights, families, the injured, and the accused.

I have spent most of my career working as both a prosecutor and defense lawyer in Hawaii. My years as a prosecutor have given me keen insight as a defense attorney, a skill I’ve used to provide protection and security for decades of clients.

I am passionate about what I do, and have worked with perseverance and diligence through many of Hawaii’s most difficult cases to build an honored reputation as a top-rated criminal defense lawyer. I take my duty seriously, and I will bring to your case the energy, expertise, and confidence you deserve.",Phone(s): (808) 526-3426,"841 Bishop Street, Suite 2115
Honolulu, Hawaii
96813", Hawaii,N/A,"Criminal Defense, Divorce, Employment, Family Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Law Offices Of Philip R. Brown,https://www.us-barassociation.org/firms/detail/829ab0b931375624,"Philip R. Brown is a full-service attorney in Hawaii. Since moving to Honolulu, Hawaii in 1993, he has litigated cases for plaintiffs and defendants in a wide variety of cases including personal injury matters, commercial litigation, and real estate litigation. Mr.",Phone(s): (808) 523-5900,"1003 Bishop Street, Suite 2005
Honolulu, Hawaii
96813", Hawaii,N/A,"Employment, Litigation"
Law Offices of Reuben S. F. Wong,https://www.us-barassociation.org/firms/detail/e012a08ce72defc0,"The Law Offices of Reuben S.F. Wong provides effective representation to clients in Honolulu and throughout Oahu in the areas of estate planning, business law, real estate, landlord-tenant disputes, and the creation and maintenance of public charities and private foundations.",Phone(s): (808) 531-3526 or (888) 567-4597,"1164 Bishop Street, Suite 1006
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Estate Planning, Litigation, Real Estate"
Law Offices of Steve Cedillos,https://www.us-barassociation.org/firms/detail/93b73c18eb204f46,"At the Law Office of Steve Cedillos, you can hire an attorney who has extensive experience in both divorce and criminal defense. For more than 30 years, Mr. Cedillos has represented countless clients in Honolulu and guided them through some of the most difficult moments of their lives.",Phone(s): (808) 201-0496,"1670 Makaloa Street, Suite 204-338
Honolulu, Hawaii
96826", Hawaii,N/A,Divorce
Law Offices of Teresa D. Morrison,https://www.us-barassociation.org/firms/detail/2f7f989e1bea4900,"Teresa Morrison is a Hawaii lawyer specializing in criminal defense, family law, contract disputes, landlord-tenant disputes, and traffic violations.",Phone(s): (808) 397-9477,"745 Keeaumoku Street
Honolulu, Hawaii
96814", Hawaii,N/A,Employment
"Leavitt, Yamane & Soldner",https://www.us-barassociation.org/firms/detail/988569c5680e18fa,"Leavitt, Yamane, & Soldner is a Honolulu, Hawaii personal injury law firm that represents clients in a wide range of claims. The lawyers of the firm demonstrate an unwavering commitment to providing personalized service that helps clients feel comfortable. An attorney will work with you personally",Phone(s): (808) 518-2120,"737 Bishop Street, Suite 1740
Honolulu, Hawaii
96813", Hawaii,N/A,"Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Linda E. F. Lach, Attorney at Law",https://www.us-barassociation.org/firms/detail/16cce8f44a0b06ab,"Linda E. F. Lach, Attorney at Law's philosophy of adoption is that you are entitled to the adoption you want, not the adoption someone else thinks you should have. No two adoptions are exactly alike, because no two people are exactly alike. Whether you are an adopting parent building a family or a",Phone(s): (808) 823-0011,"1331 Kiowai Place, Suite A
Kapaa, Hawaii
96746", Hawaii,N/A,"Divorce, Family Law"
"Louis P. Mendonca, Attorney At Law",https://www.us-barassociation.org/firms/detail/7e238d8685b27bd3,"Since 1992, Louis P. Mendonca, Attorney at Law has been successfully representing accident victims and their families in personal injury litigation in Hilo and throughout the Big Island. Mr. Mendonca will personally guide you through the litigation process from start to finish.",Phone(s): (808) 961-6690,"90 Kamehameha Avenue, Suite 2
Hilo, Hawaii
96720", Hawaii,N/A,"Motor Vehicle Accidents, Personal Injury"
Luminate Law,https://www.us-barassociation.org/firms/detail/c9c75d508f63b57f,"We provide quality legal services to Hawaii businesses. Our practice areas are: business and corporate law Internet and privacy law health law environmental and natural resources law energy and public utilities law litigation, arbitration, and mediation.",Phone(s): (808) 892-3370,"1003 Bishop Street,, Suite #2700
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Employment, Government, Industry, Intellectual Property, Litigation"
Lynnae Lee & Associates,https://www.us-barassociation.org/firms/detail/42be4fd8fe3d4bed,"Lynnae Lee & Associates is a primarily family law firm located in Honolulu, Hawaii and serving clients throughout the region, including Wheeler Army Airfield and Honolulu County. Practice areas encompass divorce, division of assets and debt, spousal support, child custody and support, adoption, guardianships, and modifications. The firm also provides representation in business law, real estate, employment, estate planning, and personal injury.

The experienced and knowledgeable attorneys offer comprehensive legal guidance and counsel on a wide range of issues. With personal attention to each client, they use a skilled, hands-on approach to develop carefully planned strategies that take into account each client’s specific circumstances and goals.

Lynnae Lee & Associates has been helping clients resolve family law issues since 2004. The legal team helps clients navigate through the legal systems and processes related to their issues and provides zealous advocacy designed to protect clients’ rights and interests while pursuing the most favorable outcomes.",Phone(s): (877) 342-0943,"Yacht Harbor Professional Center, 1620 Ala Moana Boulevard, Suite 510
Honolulu, Hawaii
96815", Hawaii,N/A,"Criminal Defense, Divorce, Estate Planning, Family Law, Litigation"
"Maui Immigration Law, LLC",https://www.us-barassociation.org/firms/detail/cd156cfe860392e1,"Maui Immigration Law, LLC provides individuals, families, and businesses throughout Hawaii dedicated and compassionate immigration law counsel. From family based visas to citizenship and deportation defense, Attorney Kevin Block is ready to advocate for his clients both in and outside the courtroom.",Phone(s): (808) 201-4303,"2200 Main St, Ste 511
Wailuku, Hawaii
96793", Hawaii,N/A,Immigration
McCorriston Miller Mukai MacKinnon LLP,https://www.us-barassociation.org/firms/detail/8403da0aacec2f74,"We know you have a choice when it comes to your legal services. As one of Hawaii’s preeminent law firms, McCorriston Miller Mukai MacKinnon LLP (M4), our reputation for integrity and success has been earned over thirty years of serving the legal needs of the islands and the Pacific Rim.

Our mission is to provide you with counsel that is solution-oriented, practical and timely.

We hold ourselves to the highest caliber of integrity, loyalty and dedication. Respect for our clients and our colleagues is a cornerstone of our firm, prevalent in our daily interactions with each other, our clients and the community.

As one of Hawaii’s largest law firms, the firm has handled some of the most complex business and real estate transactions in Hawaii for local, national and international clientele. Our litigation department is routinely involved in some of the most high profile cases in Hawaii.

M4 understands and provides the same level of effort and care for clients of all sizes, with innovative thinking and collaboration across disciplines, practices and industries to meet client goals. With M4, clients get big firm resources and experience, with small firm focus and attention.",Phone(s): (808) 632-2267,"4357 Rice St, Suite 102
Lihue, Hawaii
96766", Hawaii,N/A,"Bankruptcy, Business Law, Criminal Defense, Employment, Government, Industry, Real Estate"
"Mei Nakamoto, Attorney at Law",https://www.us-barassociation.org/firms/detail/730cc04b1051401c,"Mei Nakamoto, Attorney at Law, in Honolulu, HI, helps clients who are facing uncertain times due to family problems. The firm represents clients throughout Hawaii and primarily on the island of O'ahu. The firm can assists with contested and uncontested divorce, post-divorce, child custody, and child support matters. Besides the divorce cases, the firm is an advocate for victims of domestic abuse.

Attorneys at the firm have the knowledge, skills and experience to ensure clients get the best representation. They guide their clients through the divorce process. They understand how emotionally and financially strained those proceedings are. They do what they have to do to calm their clients and opponents.

For 25 years, lawyers at Mei Nakamoto, Attorney at Law, have built a reputation for knowledge and being meticulous in trials. They take the time to get to know their clients and find out their needs. They are successful in finding solutions that meet those objectives. They offer efficient and personalized legal advice along with pragmatic solutions to complex issues.",Phone(s): (808) 695-6250,"Davies Pacific Center, 841 Bishop Street, Suite 1020
Honolulu, Hawaii
96813", Hawaii,N/A,"Criminal Defense, Divorce, Litigation"
"Michael Jay Green and Associates, LLC",https://www.us-barassociation.org/firms/detail/49ed5782e06a6b15,"Attorney Michael Green focuses his practice on personal injury, criminal defense, and discrimination cases.

As one of the most experienced Hawaii criminal attorneys and personal injury attorneys, Mr. Green has been admitted to practice on a pro hac vice basis in over 20 states and in the",Phone(s): (808) 521-3336,"841 Bishop Street, Suite 2201
Honolulu, Hawaii
96813", Hawaii,N/A,"Criminal Defense, Medical Malpractice, Motor Vehicle Accidents"
Motooka Yamamoto & Revere,https://www.us-barassociation.org/firms/detail/c678e2974a1e19fb,"Busy, expanding law firm providing full service representation for homeowner associations statewide. Practice areas include the prosecution and defense of a variety of claims for the Association, its officers and directors preparing documents and advising boards on their rights and duties under the",Phone(s): (808) 532-7254,"1000 Bishop St. Suite 801
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
OConnell and Associates,https://www.us-barassociation.org/firms/detail/b03bb4d779ff1380,"OConnell and Associates is a Hawaiian personal injury law firm dedicated to representing victims and families in serious personal injury and death cases in Hawaii. We afford highly experienced personal injury litigation representation for scuba diving accidents, aviation crashes, maritime injuries,",Phone(s): (808) 800-0050,"1003 Bishop Street,, Suite 2700
Honolulu, Hawaii
96813", Hawaii,N/A,"Industry, Litigation, Motor Vehicle Accidents, Personal Injury"
Ohana Legal,https://www.us-barassociation.org/firms/detail/7fba5bfcc1d450fc,"Ohana Legal provides competent, caring, and professional legal representation to Hawaii families on family law matters including divorce, child custody, paternity, child support, relocation and all other areas of family and divorce law.",Phone(s): (808) 492-2391,"111 Hekili Street
Kailua, Hawaii
96734", Hawaii,N/A,"Criminal Defense, Divorce, Family Law, Litigation"
"Olson & Sons, Attorneys-at-Law, A Law Corporation",https://www.us-barassociation.org/firms/detail/f138204648093d9b,"The Olsons' diversified practice in Kona and the Big Island includes:
♦ Litigation
♦ Real Estate / Property
♦ Land Use
♦ Personal Injury
♦ Construction Law
♦ Business Law
♦ Estate Planning
♦ Divorce",Phone(s): (808) 331-3113,"79-7516 Hawaii Belt Road
Kealakekua, Hawaii
96750", Hawaii,N/A,Divorce
"Ota & Hara, LLLC",https://www.us-barassociation.org/firms/detail/c9f07ec2b83b1f92,"Suemori Ota & Hara is a boutique litigation and transactional practice providing superior service with an emphasis on result-oriented, cost-effective representation. While our firm has evolved over the years, our core values have not changed: we remain committed to providing our clients with",Phone(s): (808) 532-1728,"841 Bishop Street,, Suite 1620
Honolulu, Hawaii
96813", Hawaii,N/A,"Divorce, Employment, Industry"
"Peter K. Kubota, Attorney at Law",https://www.us-barassociation.org/firms/detail/1ffcada9b343addb,"Attorney Peter Kubota has more than 20 years of legal experience. He is a local Hawaii attorney and is fully committed to representing my clients with vigorous advocacy. He takes a practical approach to handling legal issues, whether they are seemingly straightforward or highly complicated.",Phone(s): (866) 439-0403,"505 Kilauea Avenue, Suite B
Hilo, Hawaii
96720", Hawaii,N/A,"Business Law, Estate Planning, Family Law"
Richard Paul McClellan III Lawyer,https://www.us-barassociation.org/firms/detail/b4e052ba35852b39,"Richard Paul McClellan III is a civil and criminal tax defense lawyer located in Honolulu, Hawaii.",Phone(s): (808) 523-0449,"846 South Hotel Street, Suite 308
Honolulu, Hawaii
96813", Hawaii,https://www.us-barassociation.org/firms/detail/www.taxsolutionslawyer.com,"Litigation, Tax"
"Roy J. Bell, III Attorney at Law, A Law Corporation",https://www.us-barassociation.org/firms/detail/d2a7683313da7e53,"Roy J. Bell III, Attorney at Law, A Law Corporation is a well-regarded personal injury law firm located in Honolulu, Hawaii that provides superior legal services to accident injury victims. Mr. Bell represents personal injury plaintiffs in a variety of matters, including complex cases involving serious and catastrophic injuries and wrongful death actions. He provides each client with knowledgeable and experienced representation.",Phone(s): (808) 533-1163,"841 Bishop Street, Suite 800
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Motor Vehicle Accidents, Personal Injury"
Rush Moore LLP,https://www.us-barassociation.org/firms/detail/712b45dba7acc04b,"At the law firm of Rush Moore LLP, our philosophy of service is centered on tailoring our legal services to fit your unique needs, no matter how complex they may be. Our exceptional group of talented attorneys brings a diverse range of backgrounds and viewpoints to the table, and we work together to",Phone(s): (808) 521-0400,"737 Bishop Street, Suite 2400, Pacific Guardian Center
Honolulu, Hawaii
96813", Hawaii,N/A,"Bankruptcy, Business Law, Litigation"
"Ryan G.S. Au, AAL, LLLC",https://www.us-barassociation.org/firms/detail/cf71278208a35d5c,"Ryan G.S. Au, AAL, LLLC focuses upon personal injury, landlord-tenant evictions, construction law, home foreclosure rescue scams, real estate law and business disputes throughout Hawaii. We work to provide efficient and effective solutions regarding the legal needs of those we represent.",Phone(s): (808) 450-2177,"Finance Factors Center, 1164 Bishop Street, Suite 1705
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Commercial Law, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Shawn A. Luiz, Attorney at Law",https://www.us-barassociation.org/firms/detail/5fa73d2de3fa4981,"Shawn A. Luiz, Attorney at Law is based in Honolulu, Hawaii and specializes in employment law, criminal law and civil law. The goal of our firm is to protect the rights of our clients, whether that means protecting your civil liberties or defending those who have been wronged in the workplace, we are focused on justice for our clients. We also are not afraid to go to battle for our clients in order to deliver the justice you deserve. In the past we have sued the police department, TSA and Homeland Security.

If you have been accused of a crime, you need an experienced attorney to handle your case. Shawn Luiz, Attorney at Law has been defending clients since 1997 and has experience in a broad range of criminal offenses, from serious felonies to minor misdemeanors. Your choice of legal representation in a criminal case will have a lasting impact on your life, and Shawn Luiz may be the difference between a guilty or not guilty verdict. At Shawn A. Luiz, Attorney at Law we deliver justice for our clients with a proven track record of success.",Phone(s): (808) 518-2900,"841 Bishop Street, Suite 200
Honolulu, Hawaii
96813", Hawaii,https://www.shawnluizattorney.com/,"Criminal Defense, Employment"
"Shim & Chang, Attorneys at Law",https://www.us-barassociation.org/firms/detail/5d7e3ad8f36ad891,"Shim & Chang, Attorneys at Law, A Law Corporation is a group of skilled personal injury lawyers in Honolulu, Hawaii that represents clients with a broad spectrum of claims. The attorneys of the firm know the area, and they are experienced in maritime, helicopter and tourist claims. They know the local courts and judges, and they have achieved a reputation of practicing with strict standards of integrity and professionalism.

The attorneys of Shim & Chang exercise compassion and understanding at all times, knowing that their clients are more than just physically injured. They realize the tremendous stress and expenses that can ensue in the wake of an injury, and they are aware of the possibility of permanent life changes. It is the hardships their clients must endure which motivates the impassioned advocacy that the firm's legal team provides.

They know that clients need to stay informed and aware of their situations. The attorneys of the firm go out of their way to regularly provide updates and useful information for the sake of creating peace of mind. Whether for residents or tourists, the firm's team provides dedicated advocacy capable of maximizing the success of claims in and around Honolulu.",Phone(s): (808) 524-5803,"333 Queen Street, Suite 900
Honolulu, Hawaii
96813", Hawaii,https://www.shimchanglawyers.com/,"Business Law, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Starn O’Toole Marcus & Fisher LC,https://www.us-barassociation.org/firms/detail/a345555a33504ed7,"Starn O’Toole Marcus & Fisher is a leader among Hawaii’s litigation and business law firms, founded on the principle of ensuring fair treatment for all our people - attorneys, staff and clients.",Phone(s): (808) 537-6100,"733 Bishop Street, 19th Floor
Honolulu, Hawaii
96813", Hawaii,N/A,"Industry, Litigation, Real Estate"
"Sterling & Tucker, LLP",https://www.us-barassociation.org/firms/detail/ab7970a57b54549b,"We are estate and elder law planning attorneys with offices in Honolulu, Hilo and Maui, Hawaii, whose mission is to provide residents of Hawaii with quality estate, Medicaid planning and Veterans benefits resources.",Phone(s): (808) 531-5391,"201 Merchant Street, Suite 950
Honolulu, Hawaii
96813", Hawaii,N/A,"Estate Planning, Family Law"
"Stubenberg & Durrett, LLP",https://www.us-barassociation.org/firms/detail/d6e1dbbd550701f2,"Specific areas of practice include:

REAL ESTATE: Acquisitions and Sales of Real Property, Real Estate and Corporate Litigation Analysis, Arbitration and Expert Testimony, Brokerage Agreements, Condominium Development, including formation of projects and obtaining Public Reports,",Phone(s): (808) 347-5320,"888 Mililani St. PH-2
Honolulu, Hawaii
96813", Hawaii,N/A,"Business Law, Employment, Estate Planning, Health Care & Social, Real Estate"
"Sturdivant & Associates, LLLC",https://www.us-barassociation.org/firms/detail/6614909703cce92c,"Sturdivant & Associates, LLLC offers Family Court litigation & mediation services. Our firm practices in the areas of divorce, custody, support, and property division.",Phone(s): (808) 545-5855,"1188 Bishop Street, Suite 3108
Honolulu, Hawaii
96813", Hawaii,N/A,Divorce
Tateishi & Tanaka,https://www.us-barassociation.org/firms/detail/3e5e0b5f94b357bb,"Tateishi & Tanaka is a personal injury law firm located in Wailuku, Hawaii and serving the surrounding areas, including Maui. The firm understands the upheaval that takes place as a result of a severe injury. Pain, emotional suffering and financial burden are typical results, and the lawyers of the firm know how unfair it is that clients to get stuck paying for someone else's mistake. They fully appreciate the struggle of their clients, and they demonstrate a true commitment to seeking justice on behalf of the injured.

The firm's attorneys are selective in their cases so that they can ensure the utmost attention to every detail of client's matters. They know the importance of scrutiny when preparing a claim for negotiation or for trial, and they apply that understanding in every instance.

With a strong commitment to accessibility, the firm's lawyers invite correspondence at all times, knowing that clients need to feel informed to relax. Tateishi & Tanaka know what it takes to get insurance companies to respond favorably, but when a stubborn company refuses to budge, the firm's attorneys are prepared to assert fiercely the client's claim in court and to seek maximum compensation.",Phone(s): (808) 244-3933,"2158 Main Street, Suite 201
Wailuku, Hawaii
96793", Hawaii,https://www.tateishilaw.com/,"Business Law, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
The Attorneys for Freedom Law Firm,https://www.us-barassociation.org/firms/detail/1a26218205b4ef77,"The Attorneys For Freedom Law Firm in Honolulu Hawaii offers a variety of legal services. Practice areas include DUI, Criminal Defense for a range of felonies and misdemeanors at both the state and federal level, criminal appeals, injury accident claims, civil litigation, and civil rights.",Phone(s): (808) 647-2423,"1003 Bishop Street, Suite 1260 - Pauahi Tower
Honolulu, Hawaii
96813", Hawaii,N/A,"Criminal Defense, Litigation, Motor Vehicle Accidents, Personal Injury"
The Law Office of Atty. Rhoda Yabes Alvarez,https://www.us-barassociation.org/firms/detail/015a0049157be194,"Solutions matter. It matters that you are in capable hands.

Clients need legal advice that squarely address their concerns and provide solutions in a cost effective and efficient manner.

We provide that counsel.

Over the past ten years, we have steered businesses, organized",Phone(s): (808) 589-7380,"905 Umi St., Ste. 201A
Honolulu, Hawaii
96819", Hawaii,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Divorce, Estate Planning, Family Law, Immigration, Litigation, Real Estate"
The Law Office of Christopher Cazares,https://www.us-barassociation.org/firms/detail/66f94e48ca27b023,"The Law Office of Christopher Cazares, in Honolulu handles military defense for U.S. service members throughout the Pacific Region.",Phone(s): (808) 628-8221,"737 Bishop Street, Suite 1460
Honolulu, Hawaii
96813", Hawaii,N/A,Government
"The Law Office Of Kevin O'Grady, LLC",https://www.us-barassociation.org/firms/detail/3ceda9a9b2fc7934,"DUI charges are a very serious matter. The Law Office of Kevin O’Grady, LLC fights for the interests of people who have been charged with a crime. To find out more information about the firm and receive a zero-charge evaluation of your case, get in touch with them today.",Phone(s): (808) 521-3367,"1136 Union Mall, Suite 808
Honolulu, Hawaii
96813", Hawaii,N/A,Criminal Defense
The Law Offices of David W. Barlow,https://www.us-barassociation.org/firms/detail/83afaeb20e231696,"The Law Offices of David W. Barlow is a personal injury firm located in Honolulu, Hawaii. Practice areas consist of vehicle and pedestrian accidents, motorcycle and bicycle accidents, slip and fall injuries, insurance claims, and other accidents and injuries, as well as wrongful death.",Phone(s): (808) 692-0636,"733 Bishop Street, Suite 2390, Pacific Guardian Center
Honolulu, Hawaii
96813", Hawaii,https://www.personal-injury-hawaii.com/,"Business Law, Litigation, Motor Vehicle Accidents, Personal Injury"
"The Law Offices of Jeff Crabtree, LLC",https://www.us-barassociation.org/firms/detail/104c0d189377b0d5,"The Law Offices of Jeff Crabtree is a Honolulu, Hawaii law firm representing clients in serious personal injury and wrongful death cases; medical malpractice; lemon law, automobile fraud, consumer protection cases; and professional negligence matters such as legal malpractice and realtor malpractice. With nearly 30 years of trial experience, Mr. Crabtree has attained the highest possible rating of 'AV' from Martindale Hubbell, the national register of attorneys; an AV rating indicates an attorney with preeminent legal ability and the highest professional and ethical standards.

There is no risk in meeting with a personal injury lawyer in Honolulu to learn about all of your options. If you decide you want to try to settle the case, Mr. Crabtree will use every available resource to obtain the best settlement for you, and if you decide you want to take your case to trial, he will personally fight for the best outcome for you.",Phone(s): (808) 536-6260,"820 Mililani Street, Suite 701
Honolulu, Hawaii
96813", Hawaii,N/A,"Motor Vehicle Accidents, Personal Injury"
The Law Offices of KahBo Dye-Chiew,https://www.us-barassociation.org/firms/detail/3fa6db6a8b533e4d,"At The Law Offices of KahBo Dye-Chiew in Honolulu, Hawaii, we strive for excellence in providing help with all aspects of immigration. Our immigration services are offered to not only individuals, but to small and large businesses, who desire to work or live in the United States. We offer comprehensive guidance to the young woman who wants to join her family in the United States to the large corporation that seeks the benefits of U.S. commerce. Our goal is to focus on the individual client to ensure quality immigration representation.

KahBo Dye-Chiew is a Hawaii immigration lawyer you can count on, with more than 20 years of experience in the areas of family and business immigration law. This invaluable experience is passed on to each and every one of her clients as she directly services each case. Her professionalism is only complemented by the personal attention she gives to her clients. There is no substitute for her face-to-face meetings which, in turn, create secure attorney-client relationships. The Law Offices of KahBo Dye-Chiew go beyond immigration law, focusing their services on each individual client to attain proper and satisfactory immigration solutions.

Immigration law, service and help are all found at the Law Offices of KahBo Dye-Chiew. Clients receive quality legal services they can trust. Whether the problem involves family immigration or business immigration, our firm will provide the help and services needed for a prompt and complete resolution. The client is always at the heart of our practice. We are here to answer any questions you have regarding immigration and its impact on you.",Phone(s): (866) 510-7082,"City Financial Tower, 201 Merchant Street, Suite 2302
Honolulu, Hawaii
96813", Hawaii,N/A,Immigration
"Thomas D. Collins, III, Attorney at Law",https://www.us-barassociation.org/firms/detail/820553ebc51a2afc,"Thomas D. Collins III, Attorney at Law based in Honolulu, Oahu, assists clients throughout Hawaii with family law issues, including divorce, child custody, and collection of alimony or child support. By focusing our practice exclusively on family law matters, we are able to offer clients a level of personal dedication other firms cannot match. In the past decade alone, this has helped us collect hundreds of thousands of dollars on behalf of our clients.

We understand that family law matters are often difficult and emotionally trying. As you face tough decisions that will dramatically affect your family's future, it is critical that you draw on the services of an experienced lawyer who can help you arrive at the right solution that will allow you and your family to move on. With nearly a quarter-century's worth of experience in this area of law, our attorneys have the skills to see that your best interests are fully served.

The Law Office of Thomas D. Collins particularly excels in difficult child support situations. Our experienced investigation team can locate a non-paying parent or spouse, whether the non-compliant payee is in Hawaii, the U.S. mainland, or even abroad. We are confident that we can help you, waiving our fee up front and even offering a free consultation to discuss your options.",Phone(s): (808) 528-3175 or (888) 488-0152,"225 Queen Street, Suite 18B
Honolulu, Hawaii
96813", Hawaii,N/A,Divorce
